identifier_0,identifier_1,sentence_0,sentence_1,dexms_0,dexms_1,score
org.eclipse.californium.core.CoapClient,org.eclipse.californium.core.CoapClient,The Class CoapClient.,The Class CoapClient.,client,client,1.000000238418579
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,client,0.10756778717041016
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,client,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.eclipse.paho.client.mqttv3.MqttClient,The Class CoapClient.,Lightweight client for talking to an MQTT server using methods that block until an operation completes.,client,client,0.23255300521850586
org.eclipse.californium.core.CoapClient,org.eclipse.paho.client.mqttv3.MqttClient,The Class CoapClient.,Lightweight client for talking to an MQTT server using methods that block until an operation completes.,client,client,0.23255300521850586
org.eclipse.californium.core.CoapClient,org.restlet.Client,The Class CoapClient.,Connector acting as a generic client. It internally uses one of the available connector helpers registered with the Restlet engine.,client,client,0.3648774027824402
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,client,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.java_websocket.client.WebSocketClient,The Class CoapClient.,"The WebSocketClient is an abstract class that expects a valid ""ws://"" URI to connect to.",client,client,0.2816750705242157
org.eclipse.californium.core.CoapClient,org.eclipse.californium.core.CoapServer,The Class CoapClient.,An execution environment for CoAP Resources.,client,server,0.5314919948577881
org.eclipse.californium.core.CoapClient,org.eclipse.californium.core.CoapServer,The Class CoapClient.,An execution environment for CoAP Resources.,client,server,0.5314919948577881
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,server,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.eclipse.jetty.server.Server,The Class CoapClient.,,client,server,0.10756778717041016
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,server,0.10756778717041016
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,server,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.restlet.Server,The Class CoapClient.,Connector acting as a generic server. It internally uses one of the available connector helpers registered with the Restlet engine.,client,server,0.3458717465400696
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,server,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.java_websocket.server.WebSocketServer,The Class CoapClient.,WebSocketServer is an abstract class that only takes care of the HTTP handshake portion of WebSockets.,client,server,0.30781668424606323
org.eclipse.californium.core.CoapClient,org.eclipse.californium.core.coap.Request,The Class CoapClient.,"Request represents a CoAP request and has either the CoAP.Type CON or NON and one of the CoAP.Codes GET, POST, PUT or DELETE.",client,send,0.3896041512489319
org.eclipse.californium.core.CoapClient,org.eclipse.californium.core.coap.Request,The Class CoapClient.,"Request represents a CoAP request and has either the CoAP.Type CON or NON and one of the CoAP.Codes GET, POST, PUT or DELETE.",client,send,0.3896041512489319
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,send,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.apache.http.client.methods.HttpPost,The Class CoapClient.,HTTP POST method.,client,send,0.20725473761558533
org.eclipse.californium.core.CoapClient,org.eclipse.paho.client.mqttv3.MqttMessage,The Class CoapClient.,"An MQTT message holds the application payload and options specifying how the message is to be delivered The message includes a ""payload"" (the body of the message) represented as a byte[].",client,send,0.11363864690065384
org.eclipse.californium.core.CoapClient,org.eclipse.paho.client.mqttv3.MqttMessage,The Class CoapClient.,"An MQTT message holds the application payload and options specifying how the message is to be delivered The message includes a ""payload"" (the body of the message) represented as a byte[].",client,send,0.11363864690065384
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,send,0.10756778717041016
org.eclipse.californium.core.CoapClient,javax.xml.soap.SOAPMessage,The Class CoapClient.,"The root class for all SOAP messages. As transmitted on the ""wire"", a SOAP message is an XML document or a MIME message whose first body part is an XML/SOAP document.",client,send,0.29328566789627075
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,send,0.10756778717041016
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,client,0.10756778717041016
org.eclipse.californium.core.CoapClient,,The Class CoapClient.,,client,client,0.10756778717041016
org.eclipse.californium.core.CoapClient,org.eclipse.paho.client.mqttv3.MqttClient,The Class CoapClient.,Lightweight client for talking to an MQTT server using methods that block until an operation completes.,client,client,0.23255300521850586
